MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,20,160,Cell 74 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,21,168,Cell 74 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,22,176,Cell 75 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,23,184,Cell 75 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,24,192,Cell 76 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,25,200,Cell 76 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,26,208,Cell 77 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,27,216,Cell 77 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,28,224,Cell 78 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,29,232,Cell 78 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,30,240,Cell 79 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,31,248,Cell 79 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,32,256,Cell 80 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,33,264,Cell 80 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,34,272,Cell 81 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,35,280,Cell 81 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,36,288,Cell 82 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,37,296,Cell 82 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,38,304,Cell 83 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,39,312,Cell 83 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,40,320,Cell 84 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,41,328,Cell 84 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,42,336,Cell 85 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,43,344,Cell 85 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,44,352,Cell 86 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,45,360,Cell 86 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,46,368,Cell 87 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,47,376,Cell 87 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,48,384,Cell 88 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,49,392,Cell 88 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,50,400,Cell 89 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,51,408,Cell 89 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,52,416,Cell 90 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,53,424,Cell 90 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,54,432,Cell 91 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,55,440,Cell 91 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,56,448,Cell 92 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,57,456,Cell 92 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,58,464,Cell 93 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,59,472,Cell 93 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
,,,60,480,Cell 94 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15
,,,61,488,Cell 94 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15
